Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress ScoreÂ®,Grit,Flow,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
running,11/01/2019 07:39,FALSE,Wokingham Running,5.01,591,00:36:51,157,175,4,156,167,07:22,05:54,6,6,0.87,0,0,0,0,0,00:00,0,00:00,No,00:00.0,6,0
running,08/01/2019 17:48,FALSE,Wokingham Running,5.01,550,00:36:09,151,189,3.6,156,167,07:13,05:41,5,5,0.89,0,0,0,0,0,00:00,0,00:00,No,00:00.0,6,0
running,06/01/2019 10:40,FALSE,Wokingham Running,5.01,532,00:36:11,150,182,3.6,158,170,07:13,05:50,6,6,0.88,0,0,0,0,0,00:00,0,00:00,No,00:00.0,6,0
running,04/01/2019 17:33,FALSE,Wokingham Running,5,583,00:35:57,160,183,4.1,156,171,07:11,05:41,4,7,0.89,0,0,0,0,0,00:00,0,00:00,No,00:00.0,6,0
running,02/01/2019 18:25,FALSE,Wokingham Running,5,587,00:35:40,161,185,4.2,156,168,07:08,05:48,2,6,0.9,0,0,0,0,0,00:00,0,00:00,No,00:00.0,6,0
running,30/12/2018 10:35,FALSE,Erewash Running,5.01,545,00:34:58,154,170,3.7,160,175,06:59,05:10,11,11,0.9,0,0,0,0,0,00:00,0,00:00,No,00:00.0,6,0
running,28/12/2018 11:10,FALSE,Wirral Running,5.01,575,00:36:23,156,168,3.8,157,171,07:16,05:44,38,36,0.88,0,0,0,0,0,00:00,0,00:00,No,00:00.0,6,0
running,24/12/2018 10:15,FALSE,Erewash Running,5.01,374,00:34:28,126,166,2.7,161,174,06:53,05:35,12,14,0.9,0,0,0,0,0,00:00,0,00:00,No,00:00.0,6,0
running,21/12/2018 10:46,FALSE,Wirral Running,5.01,529,00:36:21,146,177,3.4,158,169,07:16,05:38,38,34,0.87,0,0,0,0,0,00:00,0,00:00,No,00:00.0,6,0
running,19/12/2018 09:46,FALSE,Wokingham Running,5.01,307,00:36:16,112,122,1.6,157,169,07:15,06:19,8,8,0.88,0,0,0,0,0,00:00,0,00:00,No,00:00.0,6,0
running,17/12/2018 18:40,FALSE,Wokingham Running,5.01,562,00:36:27,152,166,3.5,155,246,07:17,04:25,7,6,0.89,0,0,0,0,0,00:00,0,00:00,No,00:00.0,6,0
running,15/12/2018 09:05,FALSE,Wokingham Running,10.01,637,01:14:25,119,133,2.2,156,171,07:26,05:49,14,14,0.86,0,0,0,0,0,00:00,0,00:00,No,00:00.0,11,0
running,12/12/2018 18:46,FALSE,Wokingham Running,5.01,583,00:36:28,157,174,3.6,157,165,07:17,06:08,10,9,0.87,0,0,0,0,0,00:00,0,00:00,No,00:00.0,6,0
running,10/12/2018 18:40,FALSE,Wokingham Running,5.01,464,00:36:39,135,159,2.6,157,234,07:19,06:02,8,8,0.87,0,0,0,0,0,00:00,0,00:00,No,00:00.0,6,0
running,08/12/2018 09:34,FALSE,Wokingham Running,5.01,471,00:35:23,140,171,3.1,159,168,07:04,05:55,9,8,0.89,0,0,0,0,0,00:00,0,00:00,No,00:00.0,6,0
running,06/12/2018 18:58,FALSE,Wokingham Running,5.01,609,00:37:14,161,176,3.9,155,166,07:26,06:21,8,7,0.87,0,0,0,0,0,00:00,0,00:00,No,00:00.0,6,0
running,04/12/2018 18:51,FALSE,Wokingham Running,5.01,571,00:36:44,155,175,3.5,156,165,07:20,06:01,10,9,0.87,0,0,0,0,0,00:00,0,00:00,No,00:00.0,6,0
running,01/12/2018 17:25,FALSE,Wokingham Running,5.01,565,00:37:18,152,174,3.5,155,165,07:27,06:02,10,9,0.86,0,0,0,0,0,00:00,0,00:00,No,00:00.0,6,0
running,28/11/2018 19:04,FALSE,Wokingham Running,5.01,497,00:36:30,142,166,3.2,155,168,07:17,05:49,7,7,0.88,0,0,0,0,0,00:00,0,00:00,No,00:00.0,6,0
running,26/11/2018 18:39,FALSE,Wokingham Running,5.01,542,00:37:10,151,171,3.6,156,170,07:25,05:27,1,3,0.86,0,0,0,0,0,00:00,0,00:00,No,00:00.0,6,0
running,24/11/2018 09:00,FALSE,Wokingham Running,10.01,"1,130",01:16:10,157,196,4.5,156,170,07:37,05:30,14,13,0.84,0,0,0,0,0,00:00,0,00:00,No,00:00.0,11,0
running,21/11/2018 18:22,FALSE,Wokingham Running,5.01,577,00:36:31,161,176,4,157,168,07:18,04:25,8,7,0.87,0,0,0,0,0,00:00,0,00:00,No,00:00.0,6,0
running,19/11/2018 18:06,FALSE,Wokingham Running,5,638,00:37:12,168,187,5,155,168,07:26,05:51,9,8,0.87,0,0,0,0,0,00:00,0,00:00,No,00:00.0,6,0
running,17/11/2018 09:41,FALSE,Wokingham Running,5.01,512,00:36:12,148,171,3.5,157,169,07:14,05:37,9,9,0.88,0,0,0,0,0,00:00,0,00:00,No,00:00.0,6,0
running,15/11/2018 19:22,FALSE,Wokingham Running,5.01,348,00:37:04,119,170,1.8,155,169,07:24,05:51,7,7,0.87,0,0,0,0,0,00:00,0,00:00,No,00:00.0,6,0
running,13/11/2018 18:55,FALSE,Wokingham Running,5.01,622,00:36:57,167,184,4.6,155,170,07:23,05:08,6,6,0.87,0,0,0,0,0,00:00,0,00:00,No,00:00.0,6,0
running,11/11/2018 09:53,FALSE,Wokingham Running,5.01,341,00:36:34,121,149,1.8,157,167,07:18,05:42,9,8,0.87,0,0,0,0,0,00:00,0,00:00,No,00:00.0,6,0
